oceanuseatlas.hi,Scuba.Snorkeling,Ocean Uses: Recreational Nonextractive /Cultural Use: Scuba/Snorkeling ,
oceanuseatlas.orwa,Scuba.Snorkeling,Ocean Uses: Recreational Nonextractive /Cultural Use: Scuba/Snorkeling ,
efh,Seagrass,Living Resources: Habitat,"efh, so +MPA?"
efh,Seamount,Living Resources: Habitat,"efh, so +MPA?"
aquaculture,Shellfish,Ocean Uses: Other Commercial/Industrial Uses: Mariculture ,
oceanuseatlas.ca,Shipping,Ocean Uses: Transportation: Commercial Shipping ,
oceanuseatlas.hi,Shipping,Ocean Uses: Transportation: Commercial Shipping ,
oceanuseatlas.orwa,Shipping,Ocean Uses: Transportation: Commercial Shipping ,
shippinglanes,shippinglanes,Ocean Uses: Transportation: Commercial Shipping ,
oceanuseatlas.ca,Shore.Fishing,Ocean Uses: Harvesting Living Resources: Recreational Fishing from Shore ,
oceanuseatlas.hi,Shore.Use,Ocean Uses: Recreational Nonextractive /Cultural Use: Shore Use,
oceanuseatlas.orwa,Shore.Use,Ocean Uses: Recreational Nonextractive /Cultural Use: Shore Use,
efh,Skate,Living Resources: Biological Occurrence: Fishes ,"efh, so +MPA?"
efh,Slope,Living Resources: Habitat,"efh, so +MPA?"
mpa,State.MPA,Governance: Marine Protected Areas (MPAs) ,
oceanuseatlas.hi,Surface.Board.Sports,Ocean Uses: Recreational Nonextractive /Cultural Use: Surface Board Sports ,
oceanuseatlas.orwa,Surface.Board.Sports,Ocean Uses: Recreational Nonextractive /Cultural Use: Surface Board Sports ,
oceanuseatlas.ca,Surface.Sports,Ocean Uses: Recreational Nonextractive /Cultural Use: Surface Board Sports ,
oceanuseatlas.ca,Swimming,Ocean Uses: Recreational Nonextractive /Cultural Use: Swimming,
oceanuseatlas.hi,Swimming,Ocean Uses: Recreational Nonextractive /Cultural Use: Swimming,
oceanuseatlas.orwa,Swimming,Ocean Uses: Recreational Nonextractive /Cultural Use: Swimming,
tide,tide,Nonliving Resources: Energy Resources: Tides,
oceanuseatlas.orwa,Tide.Pooling,Ocean Uses: Recreational Nonextractive /Cultural Use: Tide Pooling,
oceanuseatlas.ca,Tidepooling,Ocean Uses: Recreational Nonextractive /Cultural Use: Tide Pooling,
mpa,U.S..Virgin.Islands,Governance: Marine Protected Areas (MPAs) ,
oceanuseatlas.hi,Underwater.Cables,Ocean Uses: Other Commercial/Industrial Uses: Underwater Transmission Cables ,
oceanuseatlas.orwa,Underwater.Cables,Ocean Uses: Other Commercial/Industrial Uses: Underwater Transmission Cables ,
oceanuseatlas.hi,Underwater.Pipelines,Ocean Uses: Other Commercial/Industrial Uses: Underwater Pipelines ,
oceanuseatlas.orwa,Underwater.Pipelines,Ocean Uses: Other Commercial/Industrial Uses: Underwater Pipelines ,
wave,wave,Nonliving Resources: Energy Resources: Wave,
oceanuseatlas.ca,Wildlife.Viewing,Ocean Uses: Recreational Nonextractive /Cultural Use: Wildlife Viewing at Sea ,
oceanuseatlas.hi,Wildlife.Viewing.Sea,Ocean Uses: Recreational Nonextractive /Cultural Use: Wildlife Viewing at Sea ,
oceanuseatlas.orwa,Wildlife.Viewing.Sea,Ocean Uses: Recreational Nonextractive /Cultural Use: Wildlife Viewing at Sea ,
wind,wind,Nonliving Resources: Energy Resources: Wind,
