title,description,provider,provider_url,downloads_piped,downloads_n,metadatas_piped,metadatas_n
2011 Vessel Density: Pleasure Craft and Sailing,Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the location and characteristics of many vessels in U.S. and international waters in real-time. This dataset represents the density of pleasure craft and sailing vessel traffic in 2011 for the US Atlantic and West Coast from vessels with AIS transponders in 100 meter grid cells. The dataset is best interpreted using a high to low density scale and does not represent actual vessel counts.,MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/EastCoastPleasureCraftSailingVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/GreatLakesPleasureCraftSailingVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/GulfofMexicoPleasureCraftSailingVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/WestCoastPleasureCraftSailingVesselDensity2011.zip,4,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/PleasureCraftSailingVesselDensity2011.xml&f=html,1
2011 Vessel Density: Tanker,Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the location and characteristics of many vessels in U.S. and international waters in real-time. This dataset represents the density of tanker vessel traffic in 2011 for the US Atlantic and West Coast from vessels with AIS transponders in 100 meter grid cells. The dataset is best interpreted using a high to low density scale and does not represent actual vessel counts.,MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/EastCoastTankerVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/GreatLakesTankerVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/GulfofMexicoTankerVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/WestCoastTankerVesselDensity2011.zip,4,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/TankerVesselDensity2011.xml&f=html,1
2011 Vessel Density: Tug and Towing,Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the location and characteristics of many vessels in U.S. and international waters in real-time. This dataset represents the density of tug and towing vessel traffic in 2011 for the US Atlantic and West Coast from vessels with AIS transponders in 100 meter grid cells. The dataset is best interpreted using a high to low density scale and does not represent actual vessel counts.,MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/EastCoastTugTowingVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/GreatLakesTugTowingVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/GulfofMexicoTugTowingVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/WestCoastTugTowingVesselDensity2011.zip,4,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/TugTowingVesselDensity2011.xml&f=html,1
2011 Vessel Tracklines,"Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the location and characteristics of many vessels in U.S. and international waters in real-time. In the U.S. the Coast Guard and industry collect AIS data, which can also be used for a variety of coastal planning purposes. NOAA and BOEM have worked jointly to re-task and make available some of the most important records from the U.S. Coast Guard's national network of AIS receivers. Information such as location, time, ship type, length, width, and draft have been extracted from the raw data and prepared as track lines for analyses in desktop GIS software.",MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/EastCoastVesselTracklines2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/GreatLakesVesselTracklines2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/GulfofMexicoVesselTracklines2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/WestCoastVesselTracklines2011.zip,4,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/EastCoastVesselTracklines2011.xml&f=html|https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/GreatLakesVesselTracklines2011.xml&f=html|https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/GulfofMexicoVesselTracklines2011.xml&f=html|https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/WestCoastVesselTracklines2011.xml&f=html,4
2011 Vessel Traffic (AIS),"Derived from 2011 Automatic Identification System (AIS) broadcast returns. Each vessel count per aliquot represents the number of vessels traveling through the block during the year of 2011. An aliquot measures 1/16 of a full OCS leasing block or 1200 x 1200 meters. Only areas where BOEM publishes Official Protraction Diagrams will contain the aliquot AIS counts, therefore, large areas of inland state waters may be missing aliquot AIS counts.  The data has also been clipped so that any aliquot that touches land has been deleted so that the user can discern the location of the coastline.  Vessel count and types can be viewed by downloading the data.",Bureau of Ocean Energy Management,http://www.boem.gov/,http://www.boem.gov/Renewable-Energy-Program/Mapping-and-Data/AIS_count_all_vessels_atl_2011_shapefile.aspx|http://www.boem.gov/AIS-count-vessels-west-coast-2011-shapefile/,2,http://metadata.boem.gov/geospatial/US_West_Coast_AIS_Density_All_Ships_2011_by_Type.xml|http://www.boem.gov/Renewable-Energy-Program/Mapping-and-Data/AIS_count_all_vessels_atl_2011_shapefile.aspx,2
2013 Vessel Density,"Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the
location and characteristics of many vessels in U.S. and international waters in real-time. This dataset
represents the density of all vessel traffic in 2013 for the US Atlantic and West Coast from vessels with AIS transponders in 100 meter grid cells. The dataset is best interpreted using a high to low density scale and does not represent actual vessel counts.",MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2013AIS/VesselDensity2013.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/VesselDensity2013.xml&f=html,1
2013 Vessel Density: Cargo,Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the location and characteristics of many vessels in U.S. and international waters in real-time. This dataset represents the density of cargo vessel traffic in 2013 for the US Atlantic and West Coast from vessels with AIS transponders in 100 meter grid cells. The dataset is best interpreted using a high to low density scale and does not represent actual vessel counts.,MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2013AIS/VesselDensityCargo2013.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/VesselDensityCargo2013.xml&f=html,1
2013 Vessel Density: Fishing,Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the location and characteristics of many vessels in U.S. and international waters in real-time. This dataset represents the density of fishing vessel traffic in 2013 for the US Atlantic and West Coast from vessels with AIS transponders in 100 meter grid cells. The dataset is best interpreted using a high to low density scale and does not represent actual vessel counts.,MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2013AIS/VesselDensityFishing2013.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/VesselDensityFishing2013.xml&f=html,1
2013 Vessel Density: Passenger,Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the location and characteristics of many vessels in U.S. and international waters in real-time. This dataset represents the density of passenger vessel traffic in 2013 for the US Atlantic and West Coast from vessels with AIS transponders in 100 meter grid cells. The dataset is best interpreted using a high to low density scale and does not represent actual vessel counts.,MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2013AIS/VesselDensityPassenger2013.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/VesselDensityPassenger2013.xml&f=html,1
2013 Vessel Density: Pleasure Craft and Sailing,Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the location and characteristics of many vessels in U.S. and international waters in real-time. This dataset represents the density of pleasure craft and sailing vessel traffic in 2013 for the US Atlantic and West Coast from vessels with AIS transponders in 100 meter grid cells. The dataset is best interpreted using a high to low density scale and does not represent actual vessel counts.,MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2013AIS/VesselDensityPleasureCraftSailing2013.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/VesselDensityPleasureCraftSailing2013.xml&f=html,1
2013 Vessel Density: Tanker,Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the location and characteristics of many vessels in U.S. and international waters in real-time. This dataset represents the density of tanker vessel traffic in 2013 for the US Atlantic and West Coast from vessels with AIS transponders in 100 meter grid cells. The dataset is best interpreted using a high to low density scale and does not represent actual vessel counts.,MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2013AIS/VesselDensityTanker2013.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/VesselDensityTanker2013.xml&f=html,1
2013 Vessel Density: Tug and Towing,Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the location and characteristics of many vessels in U.S. and international waters in real-time. This dataset represents the density of tug and towing vessel traffic in 2013 for the US Atlantic and West Coast from vessels with AIS transponders in 100 meter grid cells. The dataset is best interpreted using a high to low density scale and does not represent actual vessel counts.,MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2013AIS/VesselDensityTugTowing2013.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/VesselDensityTugTowing2013.xml&f=html,1
2013 Vessel Tracklines,"Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the location and characteristics of many vessels in U.S. and international waters in real-time. In the U.S. the Coast Guard and industry collect AIS data, which can also be used for a variety of coastal planning purposes. NOAA and BOEM have worked jointly to re-task and make available some of the most important records from the U.S. Coast Guard's national network of AIS receivers. Information such as location, time, ship type, length, width, and draft have been extracted from the raw data and prepared as track lines for analyses in desktop GIS software.",MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2013AIS/EastCoastVesselTracklines2013.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2013AIS/GreatLakesVesselTracklines2013.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2013AIS/GulfofMexicoVesselTracklines2013.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2013AIS/WestCoastVesselTracklines2013.zip,4,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/EastCoastVesselTracklines2013.xml&f=html|https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/GreatLakesVesselTracklines2013.xml&f=html|https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/GulfofMexicoVesselTracklines2013.xml&f=html|https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/WestCoastVesselTracklines2013.xml&f=html,4
24NM Contiguous Zone,"Each coastal State may claim a contiguous zone adjacent to and beyond its territorial sea that extends seaward up to 24 nautical miles from its baselines. In its contiguous zone, a coastal State may exercise the control necessary to prevent the infringement of its customs, fiscal, immigration or sanitary laws and regulations within its territory or territorial sea, and punish infringement of those laws and regulations committed within its territory or territorial sea.",NOAA Office of Coast Survey,http://www.nauticalcharts.noaa.gov/,http://maritimeboundaries.noaa.gov/downloads/USMaritimeLimitsAndBoundariesSHP.zip,1,http://gis.charttools.noaa.gov/ocs_metadata/public/fgdc/MB_ParentDataset.xml,1
Abandoned Shipwreck Act,"This data represents the extent of the Abandoned Shipwreck Act (ASA). The ASA allows states to manage a broad range of resources within submerged lands, including abandoned shipwrecks that have been deserted and to which the owner has relinquished ownership rights with no retention. With the exception of wrecks on certain federal public lands, the ASA asserts U.S. title to abandoned shipwrecks and automatically transfers the title to coastal states. Citing to the Submerged Lands Act, the ASA generally extends seaward a distance of three nautical miles from the coastline to the inner limit of the outer continental shelf. In the cases of Texas, the Gulf coast of Florida, and Puerto Rico, the ASA extends seaward three marine leagues—or nine nautical miles—from the coastline. When investigating geo-regulatory boundaries near the boundary edges, users should consult the most up-to-date applicable jurisdictional boundaries from all respective authoritative sources.",MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://coast.noaa.gov/pub/Legis-Atlas/FederalGeoregulations/AbandonedShipwreckAct.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/AbandonedShipwreckAct.xml&f=html,1
Act to Prevent Pollution from Ships and MARPOL 73/78,"In 1973, the International Maritime Organization adopted the International Convention for the Prevention of Pollution by Ships and subsequently modified it by Protocol in 1978.  The Convention is widely known as MARPOL 73/78.  Its objective is to limit ship-borne pollution by restricting operational pollution and reducing the possibility of accidental pollution.  MARPOL 73/78 consists of six separate Annexes – each sets out regulations covering the various sources of ship-generated pollution.  Currently, the United States is signatory to Annexes I, II, III, V and VI.  Annexes I, II, V and VI have been incorporated into U.S. law by the Act to Prevent Pollution from Ships (APPS) and implemented within 33 U.S.C. § 1901 and 33 C.F.R. Part 151.  The AAPS was subsequently amended by the Marine Plastic Pollution Research and Control Act (1987) and the Marine Pollution Prevention Act (2008).

When investigating geo-regulatory boundaries near the boundary edges, users should consult the most up to date applicable jurisdictional boundaries available on MarineCadastre.gov. These geo-regulatory boundaries have not been updated in more than 13 years.",MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://coast.noaa.gov/pub/Legis-Atlas/FederalGeoregulations/MarinePollutionPreventionAct.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/MarinePollutionPreventionAct.xml&f=html,1
Active Oil and Gas Leases,"Portion of Outer Continental Shelf Lease Blocks which are currently leased out to private entities for oil and/or gas mining rights. Active leases include those that are exploratory, non-producing, and producing.  This is current and refreshed on a daily basis.",Bureau of Ocean Energy Management,http://www.boem.gov/,http://www.boem.gov/Oil-and-Gas-Energy-Program/Mapping-and-Data/Alaska/AKUpdate.aspx|https://www.data.boem.gov/Mapping/Files/actlease.zip|http://www.boem.gov/Oil-and-Gas-Energy-Program/Mapping-and-Data/Pacific-files/pac_lease(3).aspx,3,http://metadata.boem.gov/geospatial/OCS_Alaska_Current_OilGas_Leases.xml|http://metadata.boem.gov/geospatial/pac_lease.xml|http://www.data.boem.gov/homepg/pubinfo/repcat/arcinfo/zipped/gomr_leases.htm,3
Active Renewable Energy Leases,Blocks which have been leased by a company with intent to build a wind energy facility. No projects are currently in the development stage at this time; permits may be issued for development provided further site assessment for each leased area.,Bureau of Ocean Energy Management,http://www.boem.gov/,http://www.boem.gov/uploadedFiles/BOEM/Renewable_Energy_Program/Mapping_and_Data/boem_leasing_areas_shapefile.zip,1,http://metadata.boem.gov/geospatial/boem_renewable_lease_areas.xml,1
Aids to Navigation,"Structures intended to assist a navigator to determine position or safe course, or to warn of dangers or obstructions to navigation. This dataset includes lights, signals, buoys, day beacons, and other aids to navigation.
These data are not to be used for navigation.",MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/AidsToNavigation.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/AidsToNavigation.xml&f=html,1
Alcyonacea,"The data represent predicted habitat suitability for several taxa of deep-sea corals. Predictions were modeled using a statistical machine-learning algorithm called maximum entropy (MaxEnt). NOAA National Centers for Coastal Ocean Science (NCCOS) combined databases of known deep-sea coral locations provided by the NOAA Deep-Sea Coral Research and Technology Program (DSCRTP) and other contributors with environmental and oceanographic data to generate the predictive models of deep-sea coral distribution. These models are used to produce regional maps of deep-sea coral habitat.  In these regions, deep-sea coral occurs on the continental shelves and slopes, at ocean depths of approximately 50 to greater than 2,000 meters.  
Model predictions are organized into five hierarchical categories to be able to compare the data across coral taxa and across regions.  The categories correspond to the predicted likelihood of suitable deep sea coral habitat occurring.
Order: Alcyonacea",NOAA National Centers for Coastal Ocean Science,https://coastalscience.noaa.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/DeepSeaCorals.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/Alcyonacea.xml&f=html,1
